1;1.1.Машиностроительная и обробатывающая промышленость;;;;;;;;
2;;;1.1.1.Тяжелое машиностроение;;;;;;
3;;;;Металлорежущие станки;;;;;
385;;;;Вспомогательные механизмы прокатных станков;;;;;
386;;;;;;Рольганки раскатные;0,1 - 0,3;0,6;по данным завода изготовителя
387;;;;;;Рольганки у ножниц;0,22;;
388;;;;;;Рольганки приемные;0,34;;
389;;;;;;Рольганки у весов;0,3;;
390;;;;;;Рольганки центральные;0,1;0,88;
391;;;;;;Рольганки станинные;0,2;;
392;;;;;;Рольганки отводящие;0,25;;
393;;;;;;Рольганки стана 250 - I;0,1;;
394;;;;;;Рольганки стана 140;0,15;;
395;;;;;;Рольганки в среднем;0,17;;
396;;;;;;Роликоправильные машины;0,15;;
397;;;;;;Преобразовательчастоты рольгангов;0,2 - 0,5;;
398;;;;;;Кантователи;0,2;0,7;
399;;;;;;Кантователи основной и дополнительной клети стана 300;0,35;;
400;;;;;;Манипуляторы, нажимные устройство;0,2;;
401;;;;;;Сталкиватели;0,12;;
402;;;;;;Толкатели слябов;0,32;;
403;;;;;;Штабелирующие столы;0,1;0,8;
404;;;;;;Вентиляторы манинных залов;0,65;0,8;
405;;;;;;Вентиляторы прокатных станов;0,7 - 0,75;0,75 - 0,9;
406;;;;;;Краны отделения разделения слитков;0,3;;
407;;;;;;Клещеывые (колодцевые) краны прокатного цеха;0,5 - 0,6;;
408;;;;;;Транспортеры обрезков слябов;0,1 - 0,22;;
409;;;;;;Транспортные краны готовой продукции;0,45;0,6;
410;;;;;;Конвееры;0,35;0,7;
411;;;;;;Краны отделения заготовок;0,45;0,6;
412;;;;;;Шарнир-краны;0,3;0,6;
413;;;;;;Слитковозы;0,2;;
414;;;;;;Трансферкары, привод;0,35 - 0,45;;
415;;;;;;Подъемные столы, толкатели;0,15;;
416;;;;;;Двигатели крышек;0,1;0,65;
417;;;;;;Ножницы холодной резки;0,45;0,65;
418;;;;;;Пилы и ножницы горячей резки;0,15;0,9;
419;;;;;;Ножницы блюминга;0,25;0,5;
420;;;;;;Транспортеры ножниц;0,25;0,9;
421;;;;;;Ножницы района холодильника;0,3;0,5;
422;;;;;;Вращение и перемещение пил горячей резки;0,5;;
423;;;;;;Роликоправильные машины;0,15;;
424;;;;;;Направляющие линейки и нажимные механизиы чистовых клетей;0,01;0,75;
425;;;;;;Тянущие ролики моталок;0,2 - 0,4;;
426;;;;;;Гильотинные ножницы;0,13;0,5;
